id,duration,"cnd(1=Riot,2=Msscr.,3=Evnt)",violence.b,violence.p,violence.w,harm.b,harm.p,harm.w,blame.b,blame.p,blame.w,check1,caused.b,caused.p,caused.w,intention.b,intention.p,intention.w,punish.b,punish.p,punish.w,check2,permissible.b,permiss.p,permiss.w,allow-commit.b,allow-commit.p,allow-commit.w,knew.b,knew.p,knew.w,should.b,should.p,should.w,could.b,could.p,could.w,reparation,priorknowledge,allow,gender,age
24,558,2,1,2,7,7,4,2,1,5,7,1,1,4,7,1,5,7,1,5,7,0,7,3,2,4,2,7,4,4,7,1,7,7,1,7,4,50000,1,1,,
131,601,1,6,3,4,4,3,5,4,3,4,0,4,5,6,4,4,4,6,2,3,0,5,7,5,6,6,6,5,5,5,5,7,6,4,7,4,50000,1,1,1,18
148,829,3,3,5,6,6,3,3,7,3,3,1,3,5,6,2,5,6,3,6,6,0,3,6,7,2,6,6,3,5,5,3,6,6,3,7,7,50000,1,1,1,18
12,1416,1,2,4,7,3,6,7,2,7,7,0,3,5,7,1,4,7,1,6,7,0,2,4,7,4,1,7,2,5,7,4,7,7,2,6,4,50000,1,1,1,19
80,863,1,4,6,7,7,3,3,2,5,7,1,3,5,6,4,6,7,2,5,7,0,2,4,7,5,1,7,7,6,7,2,7,7,1,6,7,40000,1,1,1,19
26,813,2,3,4,7,7,4,3,1,2,5,1,2,1,7,1,4,7,1,5,6,0,1,5,7,7,2,1,1,4,7,2,7,4,4,7,7,30000,1,1,1,18
180,917,1,3,5,7,7,3,3,2,5,6,1,1,5,6,1,4,6,1,5,7,0,3,5,6,3,2,7,2,4,6,1,6,6,2,5,7,30000,1,1,2,19
61,500,3,3,6,6,7,1,1,2,6,7,0,1,7,7,3,7,7,2,7,7,0,3,5,5,4,7,7,4,6,6,5,7,7,4,7,7,25000,1,1,1,19
32,460,2,4,3,5,5,4,6,3,6,6,0,4,1,6,3,4,6,5,1,1,0,3,5,6,3,1,5,4,5,4,4,7,5,3,7,6,20000,2,1,1,19
20,474,1,3,4,6,3,4,5,7,5,2,0,4,4,6,4,4,6,4,3,2,0,5,3,3,4,4,6,5,4,5,4,4,7,6,6,6,20000,2,1,2,22
143,528,2,4,5,7,7,1,2,1,7,7,1,1,7,7,1,7,7,2,7,7,0,2,6,7,4,1,7,2,6,7,4,7,7,2,7,7,20000,1,1,1,21
114,882,3,7,4,7,7,3,6,3,3,3,0,6,2,7,4,4,7,3,4,7,0,3,4,6,5,1,7,4,5,6,7,7,7,4,7,7,20000,2,1,1,19
164,482,3,3,5,6,7,3,2,2,5,6,1,2,4,6,2,4,6,1,4,5,0,4,5,6,4,1,7,2,4,4,4,7,6,2,7,7,15000,1,1,1,20
166,720,1,7,3,4,7,3,4,7,3,3,1,5,5,5,5,5,4,3,5,5,0,5,6,5,5,6,5,3,5,5,3,7,7,3,4,4,15000,1,1,1,19
115,455,2,5,6,7,7,1,3,2,5,5,1,1,5,6,1,1,1,1,3,5,0,2,5,5,4,4,5,6,6,6,1,7,5,1,7,5,10000,1,1,1,19
